8,6,Ugx3saFwwuxDKQvHZ_J4AaABAg,"",@Nerdbench,https://amzn.to/4c73V88 Verfügbar hier.,1,2026-04-10 06:07:37+00,2026-04-10 06:07:37+00,f,2026-04-28 07:25:27.47381+00,2026-04-28 07:25:27.47381+00
29,11,Ugy5ggOq-7hAplvKswB4AaABAg,"",@coytb1322,"Salut Jolate 🎉, très cool ce drone , j'avais bien aimé le premier 👍",0,2026-04-19 09:07:31+00,2026-04-19 09:07:31+00,f,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
30,11,Ugy5ggOq-7hAplvKswB4AaABAg.AVmBx82JM7eAVn-f1Kc-06,Ugy5ggOq-7hAplvKswB4AaABAg,@jolatetv8150,Salut ! Et merci comme d'hab pour ton passage sur la chaîne 💯,0,2026-04-19 16:39:25+00,2026-04-19 16:39:25+00,t,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
31,11,UgwEMZXabvrE970JYUl4AaABAg,"",@naoie21,"j'aime bien c'est dynamique, la vidéo rien à dire.
mais sort le pas à 20h 😭😭",0,2026-04-18 22:24:42+00,2026-04-18 22:24:42+00,f,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
32,11,UgwEMZXabvrE970JYUl4AaABAg.AVl2Nwzoqj9AVn-jbvnZrQ,UgwEMZXabvrE970JYUl4AaABAg,@jolatetv8150,Ça se déguste comme la tisane du soir à cette heure ci 😅💯,0,2026-04-19 16:40:03+00,2026-04-19 16:40:03+00,t,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
33,11,UgxDuAC3WElM9ejLayR4AaABAg,"",@fmtv4,Énorme pouces tout le monde gros soutien a notre Jolate,3,2026-04-18 21:52:56+00,2026-04-18 21:52:56+00,f,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
34,11,UgxDuAC3WElM9ejLayR4AaABAg.AVkzkK91cwxAVn-kZoT97e,UgxDuAC3WElM9ejLayR4AaABAg,@jolatetv8150,"Merci pour le soutien, ça fait super plaisir ! 🙏",0,2026-04-19 16:40:11+00,2026-04-19 16:40:11+00,t,2026-04-28 07:26:14.099481+00,2026-04-28 07:26:14.099481+00
56,15,UgzxO5ZpaHYhT7KrxIB4AaABAg,"",@MarkusSenior,"I didn’t expect this… but I keep using it 😅
What about you — could you see yourself using a drone like this?
👉 Yes for quick shots
👉 No, I prefer full manual control
Let me know 👇",1,2026-04-22 04:59:53+00,2026-04-22 04:59:53+00,f,2026-04-28 08:42:27.939887+00,2026-04-28 08:42:27.939887+00
57,15,UgyysBbhRHzFn3Zwa1J4AaABAg,"",@SIMIR_WRLDWIDE,Imma snatch it out the air an take off running,0,2026-04-25 21:34:48+00,2026-04-25 21:34:48+00,f,2026-04-28 08:42:27.939887+00,2026-04-28 08:42:27.939887+00
58,15,UgyysBbhRHzFn3Zwa1J4AaABAg.AW1zEcyCrukAW21fn4IiED,UgyysBbhRHzFn3Zwa1J4AaABAg,@MarkusSenior,Go ahead and try — it'll film the whole chase in 8K and I'll use it as b-roll 😂 Think you could outrun the tracking though?,0,2026-04-25 22:04:51+00,2026-04-25 22:04:51+00,t,2026-04-28 08:42:27.939887+00,2026-04-28 08:42:27.939887+00
59,15,Ugx5lbv_UzuFK-DU_jh4AaABAg,"",@WatchThePlanetTogether,"Wow, this looks really simple, and the image quality is impressive.",1,2026-04-22 17:47:07+00,2026-04-22 17:47:07+00,f,2026-04-28 08:42:27.939887+00,2026-04-28 08:42:27.939887+00
60,15,Ugx5lbv_UzuFK-DU_jh4AaABAg.AVuqnQydKcLAVuwH9qcBsp,Ugx5lbv_UzuFK-DU_jh4AaABAg,@MarkusSenior,"Appreciate it! It really is a great balance of ease and performance. 😊
Are you using drones for your content?",2,2026-04-22 18:35:00+00,2026-04-22 18:35:00+00,t,2026-04-28 08:42:27.939887+00,2026-04-28 08:42:27.939887+00
61,15,Ugx5lbv_UzuFK-DU_jh4AaABAg.AVuqnQydKcLAVvN7KuqVK8,Ugx5lbv_UzuFK-DU_jh4AaABAg,@WatchThePlanetTogether,"@MarkusSenior am still learning, but I like the Skyrover S1. But the HoverAir would be nice to have you following around. Maybe something in the future.",2,2026-04-22 22:38:20+00,2026-04-22 22:38:33+00,t,2026-04-28 08:42:27.939887+00,2026-04-28 08:42:27.939887+00
62,15,Ugx5lbv_UzuFK-DU_jh4AaABAg.AVuqnQydKcLAVviH0msd5x,Ugx5lbv_UzuFK-DU_jh4AaABAg,@MarkusSenior,"That’s a great combo to be honest 👍
The S1 is awesome to learn the basics, and then something like the HOVERAir is just super convenient for those quick follow shots.
Curious — what kind of stuff are you mostly filming right now?",0,2026-04-23 01:51:53+00,2026-04-23 01:51:53+00,t,2026-04-28 08:42:27.939887+00,2026-04-28 08:42:27.939887+00
